Date,Close,Days
2000-01-01,1455.219971,1
2000-01-02,1399.420044,2
2000-01-03,1402.109985,3
2000-01-04,1403.449951,4
2000-01-05,1441.469971,5
2000-01-06,1457.599976,6
2000-01-07,1438.560059,7
2000-01-08,1432.25,8
2000-01-09,1449.680054,9
2000-01-10,1465.150024,10
2000-01-11,1455.140015,11
2000-01-12,1455.900024,12
2000-01-13,1445.569946,13
2000-01-14,1441.359985,14
2000-01-15,1401.530029,15
2000-01-16,1410.030029,16
2000-01-17,1404.089966,17
2000-01-18,1398.560059,18
2000-01-19,1360.160034,19
2000-01-20,1394.459961,20
2000-01-21,1409.280029,21
2000-01-22,1409.119995,22
2000-01-23,1424.969971,23
2000-01-24,1424.369995,24
2000-01-25,1424.23999,25
2000-01-26,1441.719971,26
2000-01-27,1411.709961,27
2000-01-28,1416.829956,28
2000-01-29,1387.119995,29
2000-01-30,1389.939941,30
2000-01-31,1402.050049,31
2000-02-01,1387.670044,32
2000-02-02,1388.26001,33
2000-02-03,1346.089966,34
2000-02-04,1352.170044,35
2000-02-05,1360.689941,36
2000-02-06,1353.430054,37
2000-02-07,1333.359985,38
2000-02-08,1348.050049,39
2000-02-09,1366.420044,40
2000-02-10,1379.189941,41
2000-02-11,1381.76001,42
2000-02-12,1409.170044,43
2000-02-13,1391.280029,44
2000-02-14,1355.619995,45
2000-02-15,1366.699951,46
2000-02-16,1401.689941,47
2000-02-17,1395.069946,48
2000-02-18,1383.619995,49
2000-02-19,1359.150024,50
2000-02-20,1392.140015,51
2000-02-21,1458.469971,52
2000-02-22,1464.469971,53
2000-02-23,1456.630005,54
2000-02-24,1493.869995,55
2000-02-25,1500.640015,56
2000-02-26,1527.349976,57
2000-02-27,1527.459961,58
2000-02-28,1523.859985,59
2000-02-29,1507.72998,60
2000-03-01,1508.52002,61
2000-03-02,1487.920044,62
2000-03-03,1498.579956,63
2000-03-04,1505.969971,64
2000-03-05,1494.72998,65
2000-03-06,1487.369995,66
2000-03-07,1501.339966,67
2000-03-08,1516.349976,68
2000-03-09,1504.459961,69
2000-03-10,1500.589966,70
2000-03-11,1467.170044,71
2000-03-12,1440.51001,72
2000-03-13,1356.560059,73
2000-03-14,1401.439941,74
2000-03-15,1441.609985,75
2000-03-16,1427.469971,76
2000-03-17,1434.540039,77
2000-03-18,1429.859985,78
2000-03-19,1477.439941,79
2000-03-20,1460.98999,80
2000-03-21,1464.920044,81
2000-03-22,1452.430054,82
2000-03-23,1468.25,83
2000-03-24,1446.290039,84
2000-03-25,1415.099976,85
2000-03-26,1409.569946,86
2000-03-27,1432.630005,87
2000-03-28,1424.170044,88
2000-03-29,1412.140015,89
2000-03-30,1383.050049,90
2000-03-31,1407.810059,91
2000-04-01,1420.959961,92
2000-04-02,1452.359985,93
2000-04-03,1466.040039,94
2000-04-04,1447.800049,95
2000-04-05,1437.209961,96
2000-04-06,1406.949951,97
2000-04-07,1400.719971,98
2000-04-08,1373.859985,99
2000-04-09,1399.050049,100
2000-04-10,1381.52002,101
2000-04-11,1378.02002,102
2000-04-12,1422.449951,103
2000-04-13,1420.599976,104
2000-04-14,1448.810059,105
2000-04-15,1477.26001,106
2000-04-16,1467.630005,107
2000-04-17,1457.839966,108
2000-04-18,1471.359985,109
2000-04-19,1461.670044,110
2000-04-20,1456.949951,111
2000-04-21,1446,112
2000-04-22,1469.439941,113
2000-04-23,1470.540039,114
2000-04-24,1478.72998,115
2000-04-25,1464.459961,116
2000-04-26,1486,117
2000-04-27,1475.949951,118
2000-04-28,1479.130005,119
2000-04-29,1452.180054,120
