Date,Open,High,Low,Close,Volume
7-Apr-17,827.96,828.48,820.51,824.67,1057253
6-Apr-17,832.40,836.39,826.46,827.88,1254433
5-Apr-17,835.51,842.45,830.72,831.41,1555328
4-Apr-17,831.36,835.18,829.04,834.57,1045363
3-Apr-17,829.22,840.85,829.22,838.55,1671503
31-Mar-17,828.97,831.64,827.39,829.56,1401893
30-Mar-17,833.50,833.68,829.00,831.50,1055339
29-Mar-17,825.00,832.76,822.38,831.41,1786321
28-Mar-17,820.41,825.99,814.03,820.92,1620542
27-Mar-17,806.95,821.63,803.37,819.51,1894990
24-Mar-17,820.08,821.93,808.89,814.43,1981006
23-Mar-17,821.00,822.57,812.26,817.58,3487056
22-Mar-17,831.91,835.55,827.18,829.59,1401465
21-Mar-17,851.40,853.50,829.02,830.46,2463484
20-Mar-17,850.01,850.22,845.15,848.40,1231521
17-Mar-17,851.61,853.40,847.11,852.12,1716471
16-Mar-17,849.03,850.85,846.13,848.78,977560
15-Mar-17,847.59,848.63,840.77,847.20,1381474
14-Mar-17,843.64,847.24,840.80,845.62,780198
13-Mar-17,844.00,848.68,843.25,845.54,1223647
10-Mar-17,843.28,844.91,839.50,843.25,1704024
9-Mar-17,836.00,842.00,834.21,838.68,1261517
8-Mar-17,833.51,838.15,831.79,835.37,989773
7-Mar-17,827.40,833.41,826.52,831.91,1037630
6-Mar-17,826.95,828.88,822.40,827.78,1109037
3-Mar-17,830.56,831.36,825.75,829.08,896378
2-Mar-17,833.85,834.51,829.64,830.63,942476
1-Mar-17,828.85,836.26,827.26,835.24,1496540
28-Feb-17,825.61,828.54,820.20,823.21,2260769
27-Feb-17,824.55,830.50,824.00,829.28,1101466
24-Feb-17,827.73,829.00,824.20,828.64,1392202
23-Feb-17,830.12,832.46,822.88,831.33,1472771
22-Feb-17,828.66,833.25,828.64,830.76,987248
21-Feb-17,828.66,833.45,828.35,831.66,1262337
17-Feb-17,823.02,828.07,821.66,828.07,1611039
16-Feb-17,819.93,824.40,818.98,824.16,1287626
15-Feb-17,819.36,823.00,818.47,818.98,1313617
14-Feb-17,819.00,823.00,816.00,820.45,1054732
13-Feb-17,816.00,820.96,815.49,819.24,1213324
10-Feb-17,811.70,815.25,809.78,813.67,1134976
9-Feb-17,809.51,810.66,804.54,809.56,990391
8-Feb-17,807.00,811.84,803.19,808.38,1155990
7-Feb-17,803.99,810.50,801.78,806.97,1241221
6-Feb-17,799.70,801.67,795.25,801.34,1184483
3-Feb-17,802.99,806.00,800.37,801.49,1463448
2-Feb-17,793.80,802.70,792.00,798.53,1532138
1-Feb-17,799.68,801.19,791.19,795.70,2029744
31-Jan-17,796.86,801.25,790.52,796.79,2160556
30-Jan-17,814.66,815.84,799.80,802.32,3246573
27-Jan-17,834.71,841.95,820.44,823.31,2965771
26-Jan-17,837.81,838.00,827.01,832.15,2973891
25-Jan-17,829.62,835.77,825.06,835.67,1627304
24-Jan-17,822.30,825.90,817.82,823.87,1474010
23-Jan-17,807.25,820.87,803.74,819.31,1963628
20-Jan-17,806.91,806.91,801.69,805.02,1670045
19-Jan-17,805.12,809.48,801.80,802.18,919325
18-Jan-17,805.81,806.20,800.99,806.07,1294407
17-Jan-17,807.08,807.14,800.37,804.61,1362115
13-Jan-17,807.48,811.22,806.69,807.88,1099215
12-Jan-17,807.14,807.39,799.17,806.36,1353057
11-Jan-17,805.00,808.15,801.37,807.91,1065936
10-Jan-17,807.86,809.13,803.51,804.79,1176780
9-Jan-17,806.40,809.97,802.83,806.65,1274645
6-Jan-17,795.26,807.90,792.20,806.15,1640170
5-Jan-17,786.08,794.48,785.02,794.02,1335167
4-Jan-17,788.36,791.34,783.16,786.90,1072958
3-Jan-17,778.81,789.63,775.80,786.14,1657268
30-Dec-16,782.75,782.78,770.41,771.82,1769950
29-Dec-16,783.33,785.93,778.92,782.79,744272
28-Dec-16,793.70,794.23,783.20,785.05,1153824
27-Dec-16,790.68,797.86,787.66,791.55,789321
23-Dec-16,790.90,792.74,787.28,789.91,623944
22-Dec-16,792.36,793.32,788.58,791.26,972169
21-Dec-16,795.84,796.68,787.10,794.56,1211346
20-Dec-16,796.76,798.65,793.27,796.42,951014
19-Dec-16,790.22,797.66,786.27,794.20,1232087
16-Dec-16,800.40,800.86,790.29,790.80,2443796
15-Dec-16,797.34,803.00,792.92,797.85,1626499
