trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 0.9999500004166653}",20,0,-73.99229191091129,"{0: 10, 1: 3, 2: 7, 3: 0, 4: 0}",0
2,False,"{'a': 0.01, 'e': 0.9998000066665778}",20,0,-165.50317334328142,"{0: 10, 1: 2, 2: 5, 3: 0, 4: 3}",0
3,False,"{'a': 0.01, 'e': 0.9995500337489875}",20,0,-111.04707146727816,"{0: 12, 1: 0, 2: 6, 3: 1, 4: 1}",0
4,False,"{'a': 0.01, 'e': 0.9992001066609779}",20,0,-51.18695666520997,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
5,False,"{'a': 0.01, 'e': 0.9987502603949663}",20,0,-32.385023348014016,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
6,False,"{'a': 0.01, 'e': 0.9982005399352042}",20,0,-46.98040185058181,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
7,False,"{'a': 0.01, 'e': 0.9975510002532796}",20,0,-101.11396372019652,"{0: 8, 1: 2, 2: 10, 3: 0, 4: 0}",0
8,False,"{'a': 0.01, 'e': 0.9968017063026194}",20,0,-90.03304500360642,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
9,False,"{'a': 0.01, 'e': 0.9959527330119943}",20,0,-29.61868305882959,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
10,False,"{'a': 0.01, 'e': 0.9950041652780258}",20,0,-90.14539936446074,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
11,False,"{'a': 0.01, 'e': 0.9939560979566968}",20,0,-87.58522492276325,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
12,False,"{'a': 0.01, 'e': 0.9928086358538663}",20,12,-31.2508787087883,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
13,False,"{'a': 0.01, 'e': 0.9915618937147881}",20,0,-56.1921627514701,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
