trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 0.9999500004166653}",20,7,-84.28420761177148,"{0: 6, 1: 3, 2: 3, 3: 0, 4: 1}",1
2,False,"{'a': 0.01, 'e': 0.9998000066665778}",20,0,-67.08820046977401,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
3,False,"{'a': 0.01, 'e': 0.9995500337489875}",20,0,-90.23807035535506,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
4,False,"{'a': 0.01, 'e': 0.9992001066609779}",20,0,-10.480989715074282,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
5,False,"{'a': 0.01, 'e': 0.9987502603949663}",20,0,-32.82724144973844,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
6,False,"{'a': 0.01, 'e': 0.9982005399352042}",20,3,3.568974089354478,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
7,False,"{'a': 0.01, 'e': 0.9975510002532796}",20,0,-110.55854600948345,"{0: 8, 1: 1, 2: 11, 3: 0, 4: 0}",0
8,False,"{'a': 0.01, 'e': 0.9968017063026194}",20,0,-66.34298616178737,"{0: 10, 1: 4, 2: 6, 3: 0, 4: 0}",0
9,False,"{'a': 0.01, 'e': 0.9959527330119943}",20,0,-85.78522677953386,"{0: 10, 1: 3, 2: 6, 3: 1, 4: 0}",0
10,False,"{'a': 0.01, 'e': 0.9950041652780258}",20,9,-3.9097884291064,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
11,False,"{'a': 0.01, 'e': 0.9939560979566968}",20,3,-39.73458892521342,"{0: 11, 1: 1, 2: 5, 3: 0, 4: 0}",1
12,False,"{'a': 0.01, 'e': 0.9928086358538663}",20,0,-43.09067978888514,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
13,False,"{'a': 0.01, 'e': 0.9915618937147881}",20,0,-79.64984170861533,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
14,False,"{'a': 0.01, 'e': 0.9902159962126371}",20,0,-36.885620654056325,"{0: 13, 1: 5, 2: 2, 3: 0, 4: 0}",0
15,False,"{'a': 0.01, 'e': 0.9887710779360422}",20,0,-82.27253166128179,"{0: 11, 1: 2, 2: 6, 3: 1, 4: 0}",0
16,False,"{'a': 0.01, 'e': 0.9872272833756269}",20,0,-46.65210742312247,"{0: 12, 1: 4, 2: 4, 3: 0, 4: 0}",0
17,False,"{'a': 0.01, 'e': 0.9855847669095608}",20,0,-72.82095604027592,"{0: 12, 1: 0, 2: 7, 3: 1, 4: 0}",0
18,False,"{'a': 0.01, 'e': 0.9838436927881214}",20,0,-99.5983689103258,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",0
19,False,"{'a': 0.01, 'e': 0.9820042351172703}",20,0,-2.8042588432955817,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
