trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 0.9999500004166653}",20,1,-50.02610709963598,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 0}",1
2,False,"{'a': 0.01, 'e': 0.9998000066665778}",20,0,-78.8279150228021,"{0: 11, 1: 5, 2: 3, 3: 0, 4: 1}",0
3,False,"{'a': 0.01, 'e': 0.9995500337489875}",20,0,-65.26721267575701,"{0: 11, 1: 2, 2: 7, 3: 0, 4: 0}",0
4,False,"{'a': 0.01, 'e': 0.9992001066609779}",20,0,-73.4327288509568,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
5,False,"{'a': 0.01, 'e': 0.9987502603949663}",20,0,-112.78274060082198,"{0: 9, 1: 3, 2: 7, 3: 0, 4: 1}",0
6,False,"{'a': 0.01, 'e': 0.9982005399352042}",20,0,-45.106469833459194,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
7,False,"{'a': 0.01, 'e': 0.9975510002532796}",20,0,-113.46076724110333,"{0: 9, 1: 3, 2: 7, 3: 0, 4: 1}",0
8,False,"{'a': 0.01, 'e': 0.9968017063026194}",20,0,-75.49930505534914,"{0: 11, 1: 3, 2: 5, 3: 1, 4: 0}",0
9,False,"{'a': 0.01, 'e': 0.9959527330119943}",20,0,-27.133504793716213,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
10,False,"{'a': 0.01, 'e': 0.9950041652780258}",20,0,-66.88867533121291,"{0: 11, 1: 3, 2: 6, 3: 0, 4: 0}",0
11,False,"{'a': 0.01, 'e': 0.9939560979566968}",20,0,-126.72143339241634,"{0: 9, 1: 1, 2: 9, 3: 0, 4: 1}",0
12,False,"{'a': 0.01, 'e': 0.9928086358538663}",20,0,-19.987326130882185,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
13,False,"{'a': 0.01, 'e': 0.9915618937147881}",20,0,-36.0088680377424,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",0
14,False,"{'a': 0.01, 'e': 0.9902159962126371}",20,0,-74.76621191697257,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
15,False,"{'a': 0.01, 'e': 0.9887710779360422}",20,0,-58.90877437853861,"{0: 12, 1: 1, 2: 7, 3: 0, 4: 0}",0
16,False,"{'a': 0.01, 'e': 0.9872272833756269}",20,6,-3.8145471556717068,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 0}",1
17,False,"{'a': 0.01, 'e': 0.9855847669095608}",20,0,-42.861332638649145,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
18,False,"{'a': 0.01, 'e': 0.9838436927881214}",20,1,6.342350230046989,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 0}",1
19,False,"{'a': 0.01, 'e': 0.9820042351172703}",20,0,-133.10643220878868,"{0: 8, 1: 2, 2: 9, 3: 0, 4: 1}",0
20,False,"{'a': 0.01, 'e': 0.9800665778412416}",20,0,-69.15336660909036,"{0: 8, 1: 9, 2: 3, 3: 0, 4: 0}",0
1,True,"{'a': 0.0, 'e': 0.0}",20,0,-130.28780358462788,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 2}",0
2,True,"{'a': 0.0, 'e': 0.0}",20,0,-62.007760924197505,"{0: 12, 1: 1, 2: 7, 3: 0, 4: 0}",0
3,True,"{'a': 0.0, 'e': 0.0}",20,0,-44.81221948696557,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
4,True,"{'a': 0.0, 'e': 0.0}",20,0,-93.11719271202514,"{0: 8, 1: 4, 2: 8, 3: 0, 4: 0}",0
5,True,"{'a': 0.0, 'e': 0.0}",20,0,-22.055551219726745,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
6,True,"{'a': 0.0, 'e': 0.0}",20,6,-47.68000922489821,"{0: 9, 1: 0, 2: 4, 3: 1, 4: 0}",1
7,True,"{'a': 0.0, 'e': 0.0}",20,0,-81.35574972657514,"{0: 10, 1: 2, 2: 8, 3: 0, 4: 0}",0
8,True,"{'a': 0.0, 'e': 0.0}",20,8,-34.83496117437283,"{0: 7, 1: 1, 2: 4, 3: 0, 4: 0}",1
9,True,"{'a': 0.0, 'e': 0.0}",20,9,-45.31031202191287,"{0: 5, 1: 1, 2: 5, 3: 0, 4: 0}",1
10,True,"{'a': 0.0, 'e': 0.0}",20,0,-25.38255983761121,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
